Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
133,393731.985,460,345.0845212,4111.939261,,,,,,,,,,,,,
134,211379.437,468,277.2867115,3211.878917,,,,,,,,,,,,,
135,72017.6819,470.5,298.9991666,3510.946359,,,,,,,,,,,,,
136,84100.31145,471.5,425.2866873,15974.91816,,,,,,,,,,,,,
137,59157.04566,472,296.3451907,10676.41207,,,,,,,,,,,,,
138,236019.832,476.5,483.2435632,5361.657799,,,,,,,,,,,,,
139,156966.1136,487.5,435.2685282,5260.993397,,,,,,,,,,,,,
140,346808.1706,489.5,729.4521346,9362.529757,,,,,,,,,,,,,
141,366696.7103,494.5,219.9787579,2258.835968,,,,,,,,,,,,,
142,268442.7853,498,832.9170608,16813.51001,,,,,,,,,,,,,
143,359419.3531,510,473.1590985,6212.205716,,,,,,,,,,,,,
144,155518.4154,513,518.3937752,6061.091201,,,,,,,,,,,,,
145,160213.5629,515,414.3255853,5116.483516,,,,,,,,,,,,,
146,428541.1841,522.5,354.1738573,3610.839198,,,,,,,,,,,,,
147,402412.955,523.5,288.1876679,3059.673903,,,,,,,,,,,,,
148,254580.3687,528,310.0435274,3562.372922,,,,,,,,,,,,,
149,193774.5114,528.5,516.6556567,6863.987194,,,,,,,,,,,,,
150,351764.7889,531,330.8447443,7863.629832,,,,,,,,,,,,,
151,306727.6384,532,444.8920852,18884.16377,,,,,,,,,,,,,
152,171064.0997,533,215.3674623,2157.845053,,,,,,,,,,,,,
153,213159.9023,536.5,307.5750266,5563.203111,,,,,,,,,,,,,
154,139003.4619,539.5,626.5621726,8010.664513,,,,,,,,,,,,,
155,29044.65651,551.5,370.4144876,3910.394723,,,,,,,,,,,,,
156,276126.2938,557.5,448.2623137,4410.146596,,,,,,,,,,,,,
157,111418.4193,560.5,732.9869839,10262.24587,,,,,,,,,,,,,
158,123576.7257,564,360.6472156,12222.26791,,,,,,,,,,,,,
159,211130.79,566.5,490.8302494,6110.991073,,,,,,,,,,,,,
160,166595.2365,569,378.5174005,4060.340951,,,,,,,,,,,,,
161,97188.69261,570.5,490.7637839,7863.605352,,,,,,,,,,,,,
162,217726.4248,578,540.6012042,6561.219996,,,,,,,,,,,,,
163,356451.2059,580.5,536.3008003,6359.695727,,,,,,,,,,,,,
164,38473.44455,589.5,375.8493424,4613.773593,,,,,,,,,,,,,
165,79698.10915,590.5,364.399111,4462.350187,,,,,,,,,,,,,
166,90286.17894,593,426.1368143,4961.998295,,,,,,,,,,,,,
167,328089.1824,593.5,391.8498147,4511.728058,,,,,,,,,,,,,
168,275036.8155,597.5,543.1196604,6560.817067,,,,,,,,,,,,,
169,136144.8544,604.5,275.53166,2659.390197,,,,,,,,,,,,,
170,273428.6061,609,477.4612625,5066.082897,,,,,,,,,,,,,
171,214124.1767,613.5,450.0598103,4912.790025,,,,,,,,,,,,,
172,167421.8078,616.5,318.4335315,3310.041012,,,,,,,,,,,,,
173,60409.50291,619.5,501.377721,5810.679949,,,,,,,,,,,,,
174,302737.6663,627,776.9822753,13512.22663,,,,,,,,,,,,,
175,87798.92386,634,282.7710302,6065.320319,,,,,,,,,,,,,
176,110700.0126,651,541.9148875,6709.350881,,,,,,,,,,,,,
177,80135.05216,656.5,622.9444155,8061.223678,,,,,,,,,,,,,
178,32506.95608,658,484.3333688,6011.485659,,,,,,,,,,,,,
179,21641.93839,663.5,438.6769468,5813.621478,,,,,,,,,,,,,
180,93123.6975,666.5,390.7447872,4110.513182,,,,,,,,,,,,,
181,229503.8439,669,279.2676659,3261.813323,,,,,,,,,,,,,
182,289788.8358,670.5,544.8612621,8312.722837,,,,,,,,,,,,,
183,258025.8134,671.5,322.2894298,3711.413525,,,,,,,,,,,,,
184,4004.806736,674,513.4636095,6512.984808,,,,,,,,,,,,,
185,398699.4896,674.5,674.893282,9311.744685,,,,,,,,,,,,,
186,9034.49958,676,214.172517,10776.92691,,,,,,,,,,,,,
187,374458.6966,682.5,402.8314464,4611.097165,,,,,,,,,,,,,
188,244044.6142,683.5,493.8598906,5410.167936,,,,,,,,,,,,,
189,189225.7026,685.5,638.9586913,6161.376552,,,,,,,,,,,,,
190,180293.5779,691,305.5365913,3413.387642,,,,,,,,,,,,,
191,22370.32627,693,258.2242488,7067.683196,,,,,,,,,,,,,
192,288932.0385,699.5,561.833556,9119.833346,,,,,,,,,,,,,
193,353332.6123,702,243.0863776,12664.43246,,,,,,,,,,,,,
194,69496.81265,704,445.4031353,5061.004538,,,,,,,,,,,,,
195,150125.6017,707,518.8851057,6360.788203,,,,,,,,,,,,,
196,359183.656,708,667.7802967,9369.278956,,,,,,,,,,,,,
197,197359.408,713.5,287.992862,3261.696275,,,,,,,,,,,,,
198,124352.0641,720,406.9074022,5213.840173,,,,,,,,,,,,,
199,127785.4981,721.5,359.188219,3967.527341,,,,,,,,,,,,,
200,201065.6038,725,802.7095144,13513.95616,,,,,,,,,,,,,
201,11874.51957,726,293.8647204,3110.441997,,,,,,,,,,,,,
202,257302.3858,727.5,363.335162,4211.25179,,,,,,,,,,,,,
203,159367.9124,736,431.74461,5011.330189,,,,,,,,,,,,,
204,175384.3988,750,357.4781894,4061.060797,,,,,,,,,,,,,
205,106218.6426,752.5,482.0840925,7011.19417,,,,,,,,,,,,,
206,18585.24198,754.5,413.7933421,5212.212843,,,,,,,,,,,,,
207,4655.364633,761,345.8224095,3961.920902,,,,,,,,,,,,,
208,201678.3628,763,226.4647567,2358.828429,,,,,,,,,,,,,
209,180829.8373,766,232.8576562,2509.682042,,,,,,,,,,,,,
210,42696.16709,766.5,347.9637776,8569.031588,,,,,,,,,,,,,
211,187376.4466,767,309.0132695,3562.296353,,,,,,,,,,,,,
212,319229.6734,768.5,250.0524161,8417.248444,,,,,,,,,,,,,
213,233085.3982,770.5,470.0382343,5411.512925,,,,,,,,,,,,,
214,269218.5754,772.5,321.9731679,12176.18591,,,,,,,,,,,,,
215,152072.5951,773,216.1316972,8319.888811,,,,,,,,,,,,,
216,194529.9873,773.5,543.5182136,6461.368722,,,,,,,,,,,,,
217,269371.7967,775,338.1187135,4635.886943,,,,,,,,,,,,,
218,314911.7306,778.5,552.5172058,7067.826146,,,,,,,,,,,,,
219,204577.2967,779,319.3203832,3663.381107,,,,,,,,,,,,,
220,196436.2461,782.5,278.1198651,4117.988377,,,,,,,,,,,,,
221,235658.7245,792,266.1613052,3213.59341,,,,,,,,,,,,,
222,17479.93496,793,258.2810449,2709.943467,,,,,,,,,,,,,
223,77143.89959,799,321.1446145,3861.791776,,,,,,,,,,,,,
224,91033.63562,806.5,318.6494048,4715.75451,,,,,,,,,,,,,
225,202928.6092,814,263.7770225,2760.737689,,,,,,,,,,,,,
226,305245.1851,828.5,260.0014885,2659.454418,,,,,,,,,,,,,
227,87512.96838,831,338.0786663,6015.810767,,,,,,,,,,,,,
228,247118.1977,849,884.0380434,11760.26617,,,,,,,,,,,,,
229,257552.8115,854,306.6942129,3565.446697,,,,,,,,,,,,,
