Cutoff,downstream_distance,time
80,0.8997359180820955,969.5
81,0.15922303205721658,975.5
82,0.5813416953661507,987.5
83,0.43697186410390254,1003.5
84,0.5805844962603463,1013.5
85,0.32220810144042994,1020.5
86,0.8577077393503296,1040.0
87,0.39566135774066635,1045.0
88,0.18191580683730982,1045.5
89,0.4803536457793318,1048.0
90,0.6991921011717976,1055.0
91,0.09802124292248672,1062.0
92,0.5451529859559398,1071.0
93,0.22505462600710743,1077.5
94,0.06324384327609552,1121.5
95,0.13871751057031478,1140.5
96,0.4510820970437952,1142.0
97,0.3190515123069103,1147.0
98,0.479013928994929,1147.5
99,0.3180134360502604,1165.0
100,0.9163994652027373,1177.5
101,0.5195119914261811,1191.5
102,0.7078865060772652,1197.5
103,0.9502754015612115,1218.5
104,0.5023186769720729,1220.0
105,0.19966324262953897,1224.5
106,0.6399521969757088,1226.0
107,0.03883326085238925,1231.5
108,0.7224394013890508,1237.5
109,0.3302211319188532,1242.5
110,0.8490481927990601,1244.5
111,0.18051623322856677,1251.0
112,0.08571467136626887,1268.0
113,0.7796396051076866,1271.0
114,0.05441671594186235,1277.0
115,0.09792098994671418,1282.5
116,0.25549916132127903,1296.0
117,0.4063950052354324,1303.5
118,0.5691041794682106,1305.5
119,0.795382782059113,1307.5
120,0.42988039687117496,1315.5
121,0.48527845476035664,1321.5
122,0.41505438511860476,1328.0
123,0.7224481768266745,1340.5
124,0.8736269558848543,1350.0
125,0.39422555873164017,1359.0
126,0.21040147615405463,1361.5
127,0.6152756369784326,1362.0
128,0.05978513592202587,1363.5
129,0.2364143843808237,1373.0
130,0.29906609355181146,1379.5
131,0.9088946766001128,1382.5
132,0.5330542422441964,1405.0
133,0.1340616528418587,1413.5
134,0.6789710251701426,1424.0
135,0.6270338215574778,1428.5
136,0.8505275589168275,1439.5
137,0.5773714688496853,1450.0
138,0.4671748996059301,1458.5
139,0.22712996798802268,1466.0
140,0.4437492661071199,1472.0
141,0.7516051490254188,1473.5
142,0.47175443229581043,1480.5
143,0.9148973169557907,1483.0
144,0.5588861563614923,1500.0
145,0.34478760357029803,1502.5
146,0.3192507790164139,1514.0
147,0.7301614925946508,1525.0
148,0.6254630893221415,1526.0
149,0.10495018092774983,1550.0
150,0.8094660517530154,1564.0
151,0.06056094225792301,1568.0
152,0.915488710938207,1573.0
153,0.19983844530674738,1574.0
154,0.11297171668933209,1578.0
155,0.6830263737870713,1590.5
156,0.24623816613610916,1592.0
157,0.5962956260946173,1606.0
158,0.7032408889799838,1617.0
159,0.3426522430327623,1620.5
160,0.1481127598721899,1632.5
161,0.7637013978766197,1641.0
162,0.40618502512294663,1654.0
163,0.08966477017057803,1659.0
164,0.09678383389140194,1665.5
165,0.4906287677125199,1670.5
166,0.6435884473166056,1676.0
167,0.6307750809056872,1679.5
168,0.8715497906546653,1682.0
169,0.5540023097314654,1685.5
170,0.3296598628942485,1686.5
171,0.8523112375167358,1698.0
172,0.38450756969771466,1706.5
173,0.3144872695084666,1707.5
174,0.5753031375565348,1712.0
175,0.9562909414597673,1718.0
176,0.2166250689135816,1724.0
177,0.9285454896816521,1724.5
178,0.07969493873784592,1727.5
179,0.7519196551154149,1735.5
180,0.5893165144937699,1738.5
181,0.7329442918103247,1741.0
182,0.2681864062988554,1746.0
183,0.22265105943387756,1751.0
184,0.14900121538383307,1755.5
185,0.795227338682433,1772.5
186,0.4680736374455546,1780.5
187,0.5226181343960391,1789.0
188,0.16978415204339875,1795.5
189,0.583502210789599,1804.0
190,0.40599128042354854,1820.5
191,0.8361401022559498,1832.0
192,0.7109022044225698,1841.5
193,0.7733042112856379,1869.5
194,0.23827417515449142,1872.0
195,0.9157643363895758,1877.5
196,0.3818740366443991,1886.0
197,0.14045444593065723,1887.0
198,0.5839465012182924,1905.0
199,0.9666326704572348,1918.5
200,0.2715756720532287,1921.5
201,0.5025837745547564,1922.5
202,0.8322005062269288,1928.0
203,0.6896528758360427,1929.5
204,0.13817453062790874,1930.0
