Cutoff,downstream_distance,time,radius,cutlen,cllen
66,6609.322887951106,225.75,365.82484813560296,4015.8499861046944,154311.72336960645
67,146410.5756321857,230.5,264.054729441497,8772.27781777023,154541.54554346358
68,59966.23048647818,230.75,470.0880158363935,8217.765895470757,147196.0372513296
69,8616.162006604634,233.25,325.06620606205354,3570.920908179462,148589.32814792008
70,134066.9248916405,241.0,242.6225794561651,2814.705631762432,159190.7231927679
71,42061.65903846964,242.5,483.33612792178764,5662.3901707859695,156252.5803799109
72,115799.04956767854,243.5,402.60398311373774,4361.413129862244,153904.6215882337
73,114962.97287755368,250.0,442.2871781062354,5826.50069715716,158468.66052987805
74,43935.44966515801,258.0,372.6936541591021,4014.4186317197764,159997.99785917852
75,81288.92224496492,260.0,663.1196656464653,8862.068919364647,154771.39194553756
76,98240.77785588935,261.5,296.9756245594019,13073.906105069827,144650.5589948644
77,66577.80060579281,264.75,292.3900848231054,3061.2831528395936,148168.2584907471
78,89252.08473313959,266.0,503.2776827596411,8627.668134579946,142167.3988908172
79,19937.812534023076,266.75,471.3975720678346,5912.135157722002,138157.322161151
80,20719.899447765474,267.75,284.2036241782181,9377.779881066997,131347.7634852453
81,104431.57861082233,269.5,268.2105177367428,3274.46234662713,131942.9435515603
82,81574.18837999723,270.0,318.11805790814844,7763.891325678849,125581.01225253583
83,97714.42934665522,273.5,382.6907218792337,4475.405972638035,128102.40735513925
84,39907.80655601275,278.25,357.9598955996242,3413.3519936173807,133622.56775754856
85,88440.6756352453,284.5,335.7153543477361,4073.639761977814,139938.79233018344
86,14724.381868019296,289.5,314.5486826452886,3917.9904750914957,143721.60553595543
87,25410.5683223606,294.0,238.7176043702661,2561.3672203686747,147885.3606217649
88,140315.26886587654,294.75,334.18879720211004,6566.202394765217,142776.94967153925
89,68410.67340188114,300.0,264.03777970604995,2911.125397963082,147622.90517825625
90,119941.31847810514,301.75,350.932586466472,4812.497477552082,145621.82945629663
91,105233.31122535306,306.5,375.8413023849485,4111.978061494727,148261.6119822525
92,28857.95566665479,309.5,188.10631395981412,1755.616364709246,150963.69088925747
93,104011.56769200844,313.75,279.6572129367762,3279.1882271195495,153581.88744177716
94,154173.6173734797,319.5,307.5060608018423,6217.772793410437,154932.70890524474
95,68287.60148781903,320.25,443.44221836759374,5463.917592445325,150839.67558238286
96,50941.09904484635,320.75,221.4110725436356,2358.878677898607,149601.43562148273
97,9052.140385742601,324.0,430.24819781251074,7662.049819165669,146734.22472717817
98,73621.05893297138,326.25,620.787862556544,8416.199025878857,142047.97010931783
99,70147.43472021628,328.5,260.0389102284609,2790.304114291157,143295.23433911838
