Cutoff,downstream_distance,time
94,0.06554699655521952,1003.0
95,0.7796145460685716,1027.0
96,0.3940446881914393,1047.0
97,0.32953388209925966,1051.0
98,0.2524010838564257,1064.0
99,0.510297485155582,1077.0
100,0.3760920429590382,1079.0
101,0.8379219996109897,1082.0
102,0.7283819336314037,1093.0
103,0.287545872772184,1104.0
104,0.5536904662337114,1109.0
105,0.6234128415283011,1114.0
106,0.6591988748368101,1117.0
107,0.18928749746316867,1128.0
108,0.11365974416615986,1136.0
109,0.14913753110659053,1139.0
110,0.4283561364252745,1145.0
111,0.8701072219081536,1166.0
112,0.4222503347546776,1173.0
113,0.2509270268090447,1179.0
114,0.6276123724430743,1181.0
115,0.5421197390549053,1186.0
116,0.6417991860254721,1192.0
117,0.4054169397472321,1193.0
118,0.7430583090802152,1194.0
119,0.8501899647999471,1202.0
120,0.17823047228663486,1203.0
121,0.5810747509122547,1234.0
122,0.7834474025918051,1235.0
123,0.13650994130725677,1244.0
124,0.0772865365565799,1252.0
125,0.7699178897673297,1253.0
126,0.22264000082829213,1261.0
127,0.8045599224768805,1263.0
128,0.46144596249838327,1269.0
129,0.6523525536032949,1295.0
130,0.7005818477567466,1301.0
131,0.2602833750218883,1312.0
132,0.586487680915212,1316.0
133,0.776015947622865,1322.0
134,0.31601860770073126,1337.0
135,0.6078565187345575,1350.0
136,0.5866411907018756,1359.0
137,0.6300168492063946,1364.0
138,0.4537879142485732,1369.0
139,0.8321151146739378,1392.0
140,0.40884515695717244,1394.0
141,0.36052202092785335,1415.0
142,0.23200127191929795,1423.0
143,0.16422783836559168,1429.0
144,0.733823460400333,1435.0
145,0.6320597357393957,1439.0
146,0.44162627092402956,1443.0
147,0.5515722070054008,1448.0
148,0.12428348024333653,1451.0
149,0.6832625690410703,1458.0
150,0.6601288831555203,1492.0
151,0.7851888883301112,1503.0
152,0.23170767252746552,1509.0
153,0.47801685743701605,1552.0
154,0.7942810115042447,1565.0
155,0.9200871678316821,1571.0
156,0.6601847422400253,1579.0
157,0.7473753170847934,1596.0
158,0.7211916688378505,1611.0
159,0.42366242933108594,1619.0
160,0.12273473225614079,1628.0
161,0.11996167882251564,1629.0
162,0.3333290478103188,1638.0
163,0.2286324083426511,1639.0
164,0.3781919625221609,1641.0
165,0.7881052505652495,1642.0
166,0.41392028450135865,1652.0
167,0.6954305007457405,1662.0
168,0.16948003776437381,1672.0
169,0.956747623728689,1685.0
170,0.8511300514901269,1703.0
171,0.3897727545686705,1719.0
172,0.8708367435133069,1722.0
173,0.47667753444559363,1726.0
174,0.7697559344999438,1750.0
175,0.8380304013570677,1761.0
176,0.4566147148495324,1773.0
177,0.3862349913637673,1794.0
178,0.5707057647817206,1800.0
179,0.5565289294816119,1806.0
180,0.6194851717860141,1810.0
181,0.14848826681155752,1815.0
182,0.832859910755721,1823.0
183,0.4656253516287195,1845.0
184,0.19203933434397277,1858.0
185,0.8729906250745794,1864.0
186,0.5277954233731743,1867.0
187,0.788121718011309,1872.0
188,0.5025398103694761,1874.0
189,0.9852560372881937,1878.0
190,0.8820052702237862,1891.0
191,0.4152169944827554,1909.0
192,0.7488830030551933,1914.0
193,0.20870310240812195,1930.0
194,0.5430436751259179,1933.0
195,0.3092457007876145,1940.0
196,0.5923488619793069,1948.0
197,0.6297081424851727,1951.0
198,0.481558921457419,1960.0
199,0.6903553791729814,1961.0
200,0.662683570881668,1977.0
201,0.43782676468172593,1997.0
202,0.7592620348512465,2001.0
203,0.6666962330477322,2005.0
204,0.3080224433116569,2023.0
