Cutoff,downstream_distance,time,radius,cutlen,,,
57,4354.555286,188,274.7075249,9965.265382,,,
58,398340.1774,192,347.3999328,11275.34265,,,
59,33411.30877,192.5,253.7646274,2809.033417,,,
60,267371.3925,193,333.0907427,12024.46667,,,
61,146528.4296,195,495.9522127,5609.184,,,
62,172934.5514,199,269.5174001,5061.816475,,,
63,366529.2316,209,288.6472574,3259.76446,,,
64,400902.0632,210,540.2930252,10716.84874,,,
65,130345.9717,218,273.1632298,3460.98784,,,
66,138107.6983,220.5,373.0806723,4059.223188,,,
67,42666.75292,221,409.0812831,4409.527943,,,
68,245129.3947,222,263.828345,2908.853825,,,
69,202158.8442,222.5,725.3297021,7761.238464,,,
70,321712.2011,223.5,617.2029567,10819.03343,,,
71,78776.00216,226,269.8688748,2858.834388,,,
72,227092.291,228,722.2225693,10311.25105,,,
73,72512.09091,234.5,263.429217,2909.853273,,,
74,343308.6048,237,256.2883625,2909.592475,,,
75,172120.2505,239,450.9823478,6060.634996,,,
76,266032.8949,240,479.0415141,5610.224865,,,
77,170671.396,246.5,381.8347605,4165.566638,,,
78,158749.6182,253,529.0158473,10013.75087,,,
79,190578.688,257.5,264.1150413,3010.216482,,,
80,21384.53463,261.5,304.7970771,3510.08941,,,
81,236344.7652,265,456.7581513,6261.348418,,,
82,224561.9693,272,528.2391123,6059.610972,,,
83,366871.9097,277,279.3921311,3009.151504,,,
84,173068.4108,279,230.3114011,6458.072574,,,
85,76677.60141,279.5,279.9771867,4411.284709,,,
86,200351.0627,302.5,355.378615,4310.411928,,,
87,383637.1505,305,582.0944109,12514.08964,,,
88,340176.9531,305.5,435.5307429,5060.397278,,,
89,366781.9137,307.5,276.4397083,3010.665798,,,
90,322542.4915,313,306.4967123,3611.108574,,,
91,301906.2789,325,437.0700128,6060.630377,,,
92,267688.341,331.5,415.4904356,6812.014099,,,
93,310502.3556,334.5,692.9344698,11662.11744,,,
94,340606.7538,345.5,320.0363759,3509.497693,,,
95,246240.9326,348.5,441.6107111,5259.953691,,,
96,359884.3438,351,406.6019897,9715.306621,,,
97,58497.31209,351.5,346.4310775,3960.406459,,,
98,27685.65344,370,316.8491007,3509.44721,,,
99,427486.9204,371.5,345.1575071,11473.78868,,,
100,81006.04566,372.5,510.0887971,6059.546216,,,
101,227506.7329,373.5,272.8958211,3009.166126,,,
102,313384.3561,374.5,371.6169469,4460.563007,,,
103,133647.4572,379.5,454.6618531,13315.94976,,,
104,4799.626826,380.5,392.4549268,5011.497603,,,
105,246545.2258,381.5,505.3560909,5409.338306,,,
106,110371.0802,382,384.927371,4259.835603,,,
107,138111.8785,386,417.358333,4865.040023,,,
108,148842.1508,389.5,425.3919096,4910.876029,,,
109,390830.5441,392.5,231.6965616,2357.592563,,,
110,377108.1064,404,329.1152403,3910.253174,,,
111,217418.9749,407,320.4903355,3961.01979,,,
112,124626.7424,408,515.6040134,6059.817819,,,
113,216831.2497,414.5,265.5552924,5966.943594,,,
114,259160.514,416.5,432.2851642,5310.827439,,,
115,413427.4166,423,411.0350307,5160.803705,,,
116,47915.18427,431.5,494.9038698,6010.55419,,,
117,370269.437,441,415.7995701,5411.134433,,,
118,315101.2157,444.5,288.6420909,3058.743916,,,
119,268513.7487,450,422.5371775,5310.750762,,,
120,154700.2033,452,383.689525,5660.198243,,,
121,292537.3627,453,408.3527217,5211.309521,,,
122,361051.4033,457.5,330.557986,4060.612597,,,
123,61493.34436,463,353.8439479,3809.361882,,,
124,51219.13048,465,246.1460292,2658.157705,,,
125,352036.418,465.5,280.8476194,3310.205154,,,
126,196569.3115,468.5,344.3416207,3860.260979,,,
127,205872.6924,476.5,605.3655838,8711.872905,,,
128,105357.0202,479,448.9801356,9466.804745,,,
129,203564.7316,479.5,595.307429,8069.49212,,,
130,360542.5049,481.5,548.5919427,6610.084714,,,
131,213376.9228,483.5,276.3100137,2962.183117,,,
132,367084.8713,486,353.6754264,4262.879677,,,
133,320925.8257,493,395.4195468,4509.621295,,,
134,356460.6159,493.5,276.4232292,10777.10957,,,
135,193974.3061,494,293.5601834,3411.155932,,,
136,143402.2035,494.5,301.1757842,3059.281117,,,
137,273487.415,500.5,373.6825075,4159.618442,,,
138,6756.880762,514.5,384.4567026,4861.504671,,,
139,373714.1179,515.5,218.4977441,2206.870168,,,
140,100357.3654,516.5,297.3415169,3560.611809,,,
141,424181.1281,518.5,234.0394173,2558.2527,,,
142,54576.26478,521,393.9098352,7463.276489,,,
143,176624.2971,522,639.4780092,8010.330571,,,
144,28482.36301,532.5,366.5740613,18582.33547,,,
145,137810.293,533.5,280.6429995,2908.648973,,,
146,357548.1596,537,331.9175455,12318.95559,,,
147,234945.8855,538.5,396.9133638,4710.157871,,,
148,375606.9807,545.5,412.1346206,15330.26519,,,
149,291978.3294,552.5,461.4186274,5911.12181,,,
150,397722.1484,553.5,371.9843147,4761.819743,,,
151,190866.5322,555,317.4764343,3409.943187,,,
152,162200.4485,567.5,371.6698906,4562.288255,,,
153,128248.4229,575.5,417.6895521,4959.95789,,,
154,212161.0417,577.5,239.13888,2659.049549,,,
155,268085.878,582,293.951032,14276.24772,,,
156,278836.4519,582.5,384.6684442,5071.418683,,,
157,254245.9083,584,375.5879208,4666.690485,,,
158,80121.85603,589.5,305.2292496,3209.132806,,,
159,114385.9079,592.5,478.0118548,5660.456662,,,
160,134784.3027,593.5,258.4575313,2859.311724,,,
161,49421.88514,597,358.8840168,3959.519839,,,
162,97205.73064,605.5,306.4787938,3459.990485,,,
163,381924.434,609.5,427.0686056,5460.942374,,,
164,299891.2482,610,453.6719419,7565.178649,,,
165,185330.9023,616.5,314.465275,3609.802604,,,
166,418601.9359,624,249.3624154,2708.545955,,,
167,353247.2257,629,359.3348541,10667.81526,,,
168,282214.5017,632.5,331.1396519,4161.493601,,,
169,301372.9085,636.5,237.1082117,2508.13969,,,
170,278466.7243,637.5,257.9706329,2712.835484,,,
171,58137.1199,642.5,364.2303749,15269.83659,,,
172,50533.56925,646,355.9648945,4070.384157,,,
173,157976.5259,650,255.8111095,15126.77877,,,
174,336740.497,651.5,293.9520039,7212.283283,,,
175,269608.294,672.5,417.1290817,4609.528847,,,
176,413978.6193,675.5,375.4633079,4510.183456,,,
177,194165.7837,677,333.5835766,4061.266062,,,
178,288678.1212,677.5,520.0973535,8011.593545,,,
179,337629.5291,678,595.8393524,8011.238648,,,
180,328859.7032,681,442.3320542,5464.04902,,,
181,150439.7512,689.5,302.7850154,11670.63403,,,
182,210038.3423,690,481.3286452,6010.898597,,,
183,222068.7502,693,257.5148656,7717.954717,,,
184,386086.746,699.5,355.0597116,4010.048736,,,
185,312106.2422,700,554.296649,8563.01225,,,
186,373146.7318,702.5,336.9401311,3509.62022,,,
187,60740.9021,704,240.5223801,6763.372668,,,
188,247797.9186,716,544.5598857,6459.296471,,,
189,214361.6112,718.5,386.2198418,4260.045821,,,
190,164279.517,719,413.5874599,4710.475207,,,
191,411441.043,723.5,434.3306175,6110.639644,,,
192,90482.34541,725,489.4401766,6010.421648,,,
193,245103.6273,725.5,452.8454529,5515.051955,,,
194,355989.803,728,401.1476501,6260.794898,,,
195,294371.3807,732,388.909058,5710.48639,,,
