,ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5,R (m),phi
37,42,3.0,4.0,30.0,171591.1944,165240,216690.7347,129872.3942,381.22391414695363,0.9443269077323091
38,43,1.0,4.0,45.0,105356.7813,110912,141614.5673,89709.21523,394.02675448978505,0.45682177148878456
39,44,1.0,4.0,30.0,143751.8436,162960,211752.6602,128456.7871,390.00494331561345,0.30768840768997485
40,45,1.0,2.0,45.0,105078.7717,113296,148035.749,86898.22525,389.63708090299434,0.23098417581669228
41,46,1.0,2.0,30.0,108346.5825,165048,213835.7221,134104.8299,398.3928150302089,0.15060512573614157
42,47,2.0,2.0,45.0,75800.28676,107648,140215.527,85419.69106,392.43353635765226,0.4586763956787662
43,48,2.0,2.0,30.0,103313.7821,162744,210715.7314,129956.3679,391.3148971624706,0.3066583993355536
44,49,1.5,8.0,25.0,173502.7486,189896,247926.2938,150397.7526,385.60704087492917,0.7779940929483815
45,50,2.5,8.0,25.0,264946.3965,192528,253217.9502,147774.7055,388.2351050621506,1.2878794150259996
46,51,1.5,10.0,25.0,148658.8797,160752,212071.9534,122830.1663,383.95050704619837,0.9766883833151927
47,52,2.5,10.0,25.0,168316.423,165792,213753.4577,132457.19,383.57717582920696,1.6293983046537939
48,53,3.0,10.0,25.0,217006.8454,159384,211110.7099,121430.9094,379.10677397194235,1.9783344732729766
49,54,2.7,9.0,40.0,79457.09923,80064,105223.5838,60007.74183,382.4136870948394,2.541750028311466
50,55,2.2,8.5,40.0,88871.56994,81624,107032.6038,62122.35377,391.79368156313967,1.9091681035174015
51,56,3.0,8.0,40.0,101917.7612,82332,106896.2892,64337.08302,384.2736926261351,2.4982194160608246
52,57,2.5,7.0,40.0,85322.06708,80352,105451.879,61309.93673,382.5788687554383,1.8296880909213824
53,58,2.6,8.2,40.0,93927.70706,80772,105079.53,62946.26607,393.97113854001674,2.164625569173207
54,59,2.4,9.0,40.0,77044.95529,82692,109702.9899,65543.62554,391.7684406036859,2.2053843813162706
55,60,3.0,6.0,40.0,91850.43385,83208,109305.6134,64171.43922,384.79236681373845,1.87113898844184
56,61,2.5,8.0,35.0,76808.35654,80832,109810.531,61608.65898,385.64832209641395,1.8151252317000788
57,62,2.5,9.0,35.0,73342.28761,78324,102398.603,60117.29547,384.7291638232153,2.046894475516963
58,63,3.0,9.0,35.0,80323.91086,79908,107348.4799,62416.57775,392.50659644014996,2.4076028494061124
59,64,3.0,7.0,35.0,100728.7724,80400,110067.0956,61917.05953,390.27558632411024,1.883284596207379
60,65,3.0,10.0,35.0,97087.56974,82788,109812.4275,64566.78711,390.6248219484226,2.6880012252233167
61,66,3.0,8.0,35.0,115975.7147,111648,152032.5962,86415.23705,382.44827352815616,2.196375452949086
