Cutoff,downstream_distance,time,radius,cutlen,,,
38,325767.5648,145,246.3273433,2459.111748,,,
39,351144.183,145.5,171.3085765,22698.75901,,,
40,209095.6989,146.5,287.0656485,3110.367387,,,
41,86152.01218,147,430.4290341,4913.612811,,,
42,219431.516,149.5,508.2427457,6011.262115,,,
43,327852.552,150.5,340.0793046,4317.228812,,,
44,276389.3605,152.5,365.8392191,4061.115824,,,
45,106745.6199,155.5,571.4651218,14467.71935,,,
46,34937.35624,156,348.6397372,4012.123678,,,
47,83838.59546,166.5,283.8036238,3115.067076,,,
48,115860.2578,169.5,320.7362048,3764.467156,,,
49,11719.69848,186,387.7144527,4661.219691,,,
50,186678.681,193.5,239.1735535,6809.968608,,,
51,25309.50922,197,416.3378662,4610.807904,,,
52,44119.58257,197.5,275.7543827,3212.112275,,,
53,135476.5441,209.5,744.717093,10262.90324,,,
54,358165.4328,222,327.041683,8367.505983,,,
55,42490.79054,225.5,432.2024227,5312.468009,,,
56,92940.01386,230.5,470.1609449,4360.654532,,,
57,38876.59561,232,335.9805037,3516.295563,,,
58,327108.4281,232.5,400.419453,4411.179264,,,
59,310002.3908,235,470.7717602,5260.467195,,,
60,377908.7165,235.5,819.3726418,13713.974,,,
61,119232.8786,237,257.9201565,2810.384737,,,
62,45560.33212,237.5,207.1951687,2162.966554,,,
63,267350.5934,239.5,561.5580902,12320.5074,,,
64,71962.55255,240.5,390.4971625,4661.878643,,,
65,13569.52172,241,304.2780132,3210.537917,,,
66,229316.169,247.5,352.9097821,3911.158655,,,
67,129070.8447,249.5,365.8823745,4563.043886,,,
68,330695.2842,250.5,256.8937603,2812.00315,,,
69,17225.81634,260.5,397.2282124,4411.032071,,,
70,5854.293844,261,602.8902313,7312.111455,,,
71,168607.4388,270,447.0093949,4910.514625,,,
72,288348.862,271.5,342.5682604,3961.537912,,,
73,229829.5644,275.5,390.572033,4813.079399,,,
74,88101.4016,282.5,408.0862125,4411.172299,,,
75,82184.73074,285.5,322.6610854,3462.812618,,,
76,257289.3239,293,528.9034172,6711.519907,,,
77,270710.2095,294,434.5939032,5061.23317,,,
78,141345.1334,300.5,248.5131473,2659.700935,,,
79,386454.1087,304.5,290.9170453,3362.35818,,,
80,40989.85685,307.5,304.5658256,3211.018809,,,
81,350062.8417,308.5,474.716408,6212.859727,,,
82,29216.36996,315.5,357.5798171,8165.771227,,,
83,167039.7474,331,543.195062,10461.76073,,,
84,99119.9957,333.5,364.474235,3661.11543,,,
85,261946.511,335,288.676131,3311.458052,,,
86,171253.4898,336,350.7301455,4569.237683,,,
87,315018.9234,338,295.3029341,3160.307324,,,
88,267834.4211,339.5,356.0958934,4413.718121,,,
89,232624.056,340,394.0519115,4862.735327,,,
90,260482.2042,347.5,323.8820137,3465.377744,,,
91,204638.5351,349.5,377.3338053,4211.034461,,,
92,371245.859,358.5,373.541461,4112.13978,,,
93,6609.977599,359.5,274.4564969,9123.949775,,,
94,68266.41312,360,368.5935193,14423.60929,,,
95,199086.9642,361.5,541.9200717,6461.946594,,,
96,10526.6126,362.5,328.1178382,3918.235483,,,
97,80245.53323,368.5,287.7512644,3363.734581,,,
98,92061.33552,376.5,468.2871298,9815.049068,,,
99,19794.35835,384.5,503.4607121,5911.05638,,,
100,24575.71113,385,479.5075611,4964.719699,,,
101,368002.6906,388,315.7898904,3512.704103,,,
102,199866.8586,388.5,403.2487199,16428.97093,,,
103,178111.1954,390,351.7302473,4163.099226,,,
104,209009.6119,393,419.3218695,4716.993656,,,
105,35892.46636,394.5,523.6907449,7112.734244,,,
106,29074.78358,396,216.6987427,2414.655075,,,
107,95168.99714,402.5,448.85098,5915.549682,,,
108,12477.06438,404.5,279.1692802,2961.327602,,,
109,243130.5371,416.5,262.1018223,8069.305561,,,
110,23250.85643,424.5,361.7105709,3713.792604,,,
111,375327.4124,429.5,632.829247,6110.469859,,,
112,429318.6817,433,418.9085658,4560.399749,,,
113,255729.463,435,297.0622119,3411.022841,,,
114,120903.2772,437,458.1904542,5061.191396,,,
115,335087.9026,439,534.1837664,6410.674678,,,
116,338465.977,442.5,187.1018472,5513.183753,,,
117,83110.24037,446.5,291.7535659,3160.343602,,,
118,316630.1615,448,642.1276497,8261.060254,,,
119,136362.1727,458,581.6710125,6812.233554,,,
120,375276.7716,458.5,322.7225533,3814.88097,,,
121,273234.3409,459,499.1520333,5710.882464,,,
122,310994.3981,465,494.0838382,11272.36909,,,
123,177561.7004,469,394.8299896,10522.87034,,,
124,195330.8141,469.5,322.7667781,3611.496279,,,
125,94491.13849,470.5,478.2488418,5660.983253,,,
126,357503.2799,474,349.9011654,4011.176877,,,
127,372099.2664,478.5,284.8154282,3062.57223,,,
128,189934.8052,480,673.4076986,7662.320361,,,
129,165262.3172,480.5,452.3780137,5914.794009,,,
130,309770.5325,482.5,356.1149349,4417.53019,,,
131,416127.0495,486,677.0719725,8010.265212,,,
132,328420.8512,490.5,386.6852856,4511.585475,,,
133,241612.8902,492.5,322.1640728,3661.447666,,,
134,264007.6704,493,217.7790065,12431.36742,,,
135,34570.08401,493.5,278.706767,2910.768832,,,
136,367680.5809,497,378.4852275,4713.338826,,,
137,158563.9928,498,372.8066965,4713.637818,,,
138,206282.2257,499.5,452.3213995,5160.88179,,,
139,381980.9216,503,327.1975695,9223.359302,,,
140,127292.6019,506.5,439.6798732,6515.097665,,,
141,146303.4851,508.5,312.6928999,8969.194421,,,
142,58515.64405,510,651.3356065,8010.782539,,,
143,103419.2403,511,426.2581438,4761.116818,,,
144,201458.7534,515,296.700532,10929.24443,,,
145,249282.8206,516,579.347287,8564.358432,,,
146,274802.8949,518.5,283.7287606,3011.471299,,,
147,103919.6013,521.5,187.4462873,7973.524168,,,
148,64634.44202,525,647.1734726,10313.81536,,,
149,13272.39559,528,454.9807087,5311.331798,,,
150,375483.0948,529,319.3775768,3763.378651,,,
151,15332.66984,531,399.5017582,4465.381454,,,
152,250152.7055,535,484.0600478,6215.047531,,,
153,43748.46147,539.5,438.3513225,4811.139752,,,
154,270797.6382,543,269.5333594,6864.177918,,,
155,172365.0535,549.5,304.4289549,6262.252027,,,
156,66351.98861,552.5,480.4153522,5812.447041,,,
157,217276.413,561.5,299.4818991,3060.189612,,,
158,35978.52158,562,215.5581407,6267.886335,,,
