Cutoff,downstream_distance,time
114,0.07018210714425142,1396.0
115,0.852725159891393,1396.5
116,0.21431267888706068,1400.5
117,0.11931127514471669,1406.5
118,0.44619613811315756,1413.0
119,0.5592762696176878,1413.5
120,0.26556210742310016,1415.5
121,0.6679100014799741,1423.0
122,0.1554445432930822,1424.5
123,0.46442227215194765,1426.0
124,0.7760409312270623,1437.5
125,0.7130616594226594,1445.5
126,0.4271028336695855,1462.5
127,0.8860236869431798,1467.0
128,0.3559854588368612,1469.0
129,0.8503137664860011,1494.0
130,0.2573890298397082,1499.5
131,0.5228831178038735,1509.5
132,0.9166960608455427,1510.5
133,0.15868498191879807,1521.0
134,0.6384354537468752,1549.0
135,0.14017931699629796,1580.5
136,0.38424817828035746,1581.0
137,0.1756328584685059,1591.0
138,0.06690289593514229,1592.5
139,0.6430033371499011,1605.5
140,0.44755443075563367,1610.0
141,0.45411208825883836,1614.5
142,0.34076401310120247,1621.5
143,0.4111019530583515,1628.0
144,0.649448840599368,1630.0
145,0.585126417179061,1630.5
146,0.5614459987358278,1640.5
147,0.37628472827664755,1644.0
148,0.09760117486543725,1652.0
149,0.2549408583302786,1658.0
150,0.7153097218600606,1671.5
151,0.6354666581551354,1678.5
152,0.7956188398352785,1683.5
153,0.19385870429023674,1695.0
154,0.49010177163531043,1697.0
155,0.22917687379423526,1704.0
156,0.26328890262087845,1727.5
157,0.5884818990075981,1732.0
158,0.875054205434164,1734.0
159,0.4979587741013147,1734.5
160,0.6683576336712593,1744.0
161,0.4349819711942133,1744.5
162,0.09389296843416126,1745.5
163,0.49935757363855116,1753.0
164,0.271306668230503,1754.0
165,0.7059854993546267,1754.5
166,0.9497060361382594,1755.5
167,0.4184348124704953,1776.5
168,0.5144915222542803,1786.0
169,0.19383102777024153,1803.0
170,0.15731908625928975,1820.5
171,0.6837795701508924,1824.0
172,0.7421667811480548,1848.5
173,0.8792239488836218,1860.0
174,0.5892371266196427,1863.0
175,0.7871578190828628,1869.5
176,0.06411785352237799,1870.5
177,0.7183698076471801,1880.0
178,0.3407243255316566,1886.5
179,0.7656925150449074,1904.0
180,0.08179656656059402,1911.5
181,0.4196593740176218,1913.5
182,0.6286812880595629,1914.0
183,0.8440117399200308,1925.5
184,0.416063175105924,1928.5
185,0.21463690066174043,1933.5
186,0.7316772678534169,1937.5
187,0.47115387038261575,1938.0
188,0.48434980983134185,1942.5
189,0.5717883517664072,1945.5
190,0.30726114901327606,1952.0
191,0.9575585795958615,1952.5
192,0.5208981073510314,1967.0
193,0.14831429684438757,1993.0
194,0.3051629985378655,2003.0
195,0.9377223706547088,2006.0
196,0.6529481521902557,2022.0
197,0.14436863196222066,2030.0
198,0.671798690788277,2033.5
199,0.9161863751627086,2055.0
200,0.5293024725057128,2067.0
201,0.5707237748238693,2068.5
202,0.7891499819281804,2069.0
203,0.7531116575563951,2080.0
204,0.875674106668816,2107.0
205,0.6271677086411384,2107.5
206,0.05537160339035837,2113.5
207,0.5496054864473126,2131.5
208,0.5319184063520463,2132.0
209,0.589197042986212,2142.0
210,0.4168502975118758,2149.5
211,0.04164505844291956,2153.5
212,0.25218760856965083,2157.5
213,0.807771019577421,2168.0
214,0.7495211691883553,2169.0
215,0.8799722957843027,2169.5
216,0.20774687351493457,2175.5
217,0.860760468183954,2177.0
218,0.7471595789466069,2188.5
219,0.8150042949811621,2194.0
220,0.9289005459295412,2195.5
221,0.2180066926634239,2201.0
222,0.9119245443228203,2205.0
223,0.0494248396752503,2209.5
224,0.10664468708939896,2215.5
225,0.5980075664219128,2218.5
226,0.5220043138275411,2219.0
227,0.19985301582599826,2224.0
228,0.8165587425032004,2242.0
229,0.25719633722113533,2247.5
230,0.6914338390535785,2267.0
231,0.34429940123351355,2271.5
232,0.16814409649799222,2273.0
233,0.2901065274827423,2276.5
